ID,reward,weight
P000,92,23
P001,57,31
P002,49,29
P003,68,44
P004,60,53
P005,43,38
P006,67,63
P007,84,85
P008,87,89
P009,72,82
P010,58,68
P011,36,95
P012,83,92
P013,100,65
P014,94,92
P015,93,13
P016,60,67
P017,76,42
P018,5,97
P019,23,40
P020,91,77
P021,100,55
P022,93,52
P023,88,36
P024,75,21
P025,72,1
P026,58,43
P027,84,15
P028,4,5
P029,43,100
P030,53,10
P031,12,49
P032,15,52
P033,68,31
P034,34,21
P035,94,1
P036,91,61
P037,80,66
P038,46,75
P039,7,67
P040,61,3
P041,29,90
P042,37,35
P043,24,94
P044,5,36
P045,44,64
P046,95,66
P047,19,20
P048,9,57
P049,30,70
P050,33,36
P051,77,25
P052,59,46
P053,48,8
P054,11,9
P055,36,29
P056,54,87
P057,14,98
P058,65,48
P059,19,2
P060,54,20
P061,93,53
P062,55,73
P063,27,34
P064,9,41
P065,80,29
P066,33,79
P067,94,45
P068,24,19
P069,1,80
P070,75,58
P071,11,46
P072,35,70
P073,39,11
P074,41,18
P075,18,40
P076,6,93
P077,61,51
P078,20,85
P079,28,38
P080,4,29
P081,59,32
P082,16,67
P083,60,51
P084,73,26
P085,3,29
P086,82,40
P087,68,8
P088,55,75
P089,36,86
P090,71,7
P091,73,66
P092,7,61
P093,57,63
P094,85,90
P095,73,5
P096,93,43
P097,77,47
P098,100,7
P099,65,26
P100,26,65
P101,15,78
P102,61,98
P103,30,19
P104,48,51
P105,18,39
P106,35,81
P107,49,24
P108,72,42
P109,55,70
P110,12,9
P111,48,93
P112,65,81
P113,89,43
P114,82,7
P115,77,98
P116,70,59
P117,83,87
P118,17,29
P119,82,32
P120,82,25
P121,13,59
P122,60,90
P123,72,23
P124,7,50
P125,61,94
P126,93,54
P127,82,45
P128,58,35
P129,39,94
P130,98,11
