ID,reward,weight
P000,135,70
P001,139,73
P002,149,77
P003,150,80
P004,156,82
P005,163,87
P006,173,90
P007,184,94
P008,192,98
P009,201,106
P010,210,110
P011,214,113
P012,221,115
P013,229,118
P014,240,120
P015,203,23
P016,52,9
P017,207,73
P018,27,67
P019,14,22
P020,221,31
P021,13,96
P022,194,130
P023,165,149
P024,122,17
P025,153,98
P026,127,85
P027,123,12
P028,184,112
P029,72,28
P030,173,144
P031,24,86
P032,107,96
P033,204,76
P034,105,15
P035,157,62
P036,56,66
P037,148,114
P038,128,55
P039,39,146
P040,71,134
P041,91,8
P042,18,23
P043,202,147
P044,161,14
P045,97,63
P046,208,33
P047,161,45
P048,119,27
P049,109,120
P050,120,117
P051,233,53
P052,154,64
P053,238,144
P054,114,92
P055,153,71
P056,88,36
P057,13,24
P058,144,77
P059,95,143
